,eventTimeStart,eventTimeEnd,latStart,lonStart,latEnd,lonEnd
1166,2017-05-24 13:08:40,2017-05-24 13:08:40,47.409291,8.546942,47.423743,8.555213
9,2017-05-24 13:08:47,2017-05-24 13:08:48,47.409291,8.546942,47.423743,8.555213
169,2017-05-24 13:08:58,2017-05-24 13:08:58,47.409291,8.546942,47.423743,8.555213
391,2017-05-24 13:09:07,2017-05-24 13:09:07,47.409291,8.546942,47.423743,8.555213
1375,2017-05-24 13:09:10,2017-05-24 13:09:19,47.409291,8.546942,47.423743,8.555213
1029,2017-05-24 13:09:21,2017-05-24 13:09:22,47.409291,8.546942,47.423743,8.555213
1286,2017-05-24 13:09:22,2017-05-24 13:09:24,47.409291,8.546942,47.423743,8.555213
338,2017-05-24 13:09:29,2017-05-24 13:09:34,47.409291,8.546942,47.423743,8.555213
1356,2017-05-24 13:09:34,2017-05-24 13:09:34,47.409291,8.546942,47.423743,8.555213
771,2017-05-24 13:09:37,2017-05-24 13:09:41,47.409291,8.546942,47.423743,8.555213
1404,2017-05-24 13:09:42,2017-05-24 13:09:43,47.409291,8.546942,47.423743,8.555213
850,2017-05-24 13:09:49,2017-05-24 13:09:49,47.409291,8.546942,47.423743,8.555213
907,2017-05-24 13:09:52,2017-05-24 13:09:53,47.409291,8.546942,47.423743,8.555213
621,2017-05-24 13:09:59,2017-05-24 13:10:01,47.409291,8.546942,47.423743,8.555213
359,2017-05-24 13:10:18,2017-05-24 13:10:19,47.409291,8.546942,47.423743,8.555213
1139,2017-05-24 13:10:21,2017-05-24 13:10:21,47.409291,8.546942,47.423743,8.555213
56,2017-05-24 13:10:58,2017-05-24 13:11:04,47.409291,8.546942,47.423743,8.555213
677,2017-05-24 13:11:06,2017-05-24 13:11:07,47.409291,8.546942,47.423743,8.555213
333,2017-05-24 13:11:32,2017-05-24 13:11:34,47.409291,8.546942,47.423743,8.555213
360,2017-05-24 13:11:40,2017-05-24 13:11:41,47.409291,8.546942,47.423743,8.555213
835,2017-05-24 13:11:43,2017-05-24 13:11:45,47.409291,8.546942,47.423743,8.555213
155,2017-05-24 13:11:46,2017-05-24 13:11:53,47.409291,8.546942,47.423743,8.555213
1196,2017-05-24 13:11:57,2017-05-24 13:11:57,47.409291,8.546942,47.423743,8.555213
1250,2017-05-24 13:12:01,2017-05-24 13:12:03,47.409291,8.546942,47.423743,8.555213
1340,2017-05-24 13:12:08,2017-05-24 13:12:08,47.409291,8.546942,47.423743,8.555213
1326,2017-05-24 13:12:23,2017-05-24 13:12:29,47.409291,8.546942,47.423743,8.555213
1241,2017-05-24 13:12:32,2017-05-24 13:12:33,47.409291,8.546942,47.423743,8.555213
1416,2017-05-24 13:12:40,2017-05-24 13:12:42,47.409291,8.546942,47.423743,8.555213
1260,2017-05-24 13:12:44,2017-05-24 13:12:44,47.409291,8.546942,47.423743,8.555213
808,2017-05-24 13:12:49,2017-05-24 13:12:49,47.409291,8.546942,47.423743,8.555213
678,2017-05-24 13:12:53,2017-05-24 13:12:53,47.409291,8.546942,47.423743,8.555213
501,2017-05-24 13:12:57,2017-05-24 13:12:58,47.409291,8.546942,47.423743,8.555213
1251,2017-05-24 13:13:06,2017-05-24 13:13:08,47.409291,8.546942,47.423743,8.555213
895,2017-05-24 13:13:13,2017-05-24 13:13:14,47.409291,8.546942,47.423743,8.555213
864,2017-05-24 13:13:14,2017-05-24 13:13:17,47.409291,8.546942,47.423743,8.555213
1469,2017-05-24 13:13:21,2017-05-24 13:13:23,47.409291,8.546942,47.423743,8.555213
1035,2017-05-24 13:13:55,2017-05-24 13:14:01,47.409291,8.546942,47.423743,8.555213
884,2017-05-24 13:14:02,2017-05-24 13:14:03,47.409291,8.546942,47.423743,8.555213
329,2017-05-24 13:14:09,2017-05-24 13:14:11,47.409291,8.546942,47.423743,8.555213
138,2017-05-24 13:14:13,2017-05-24 13:14:14,47.409291,8.546942,47.423743,8.555213
865,2017-05-24 13:14:17,2017-05-24 13:14:19,47.409291,8.546942,47.423743,8.555213
1497,2017-05-24 13:14:19,2017-05-24 13:14:22,47.409291,8.546942,47.423743,8.555213
72,2017-05-24 13:14:27,2017-05-24 13:14:28,47.409291,8.546942,47.423743,8.555213
1284,2017-05-24 13:14:46,2017-05-24 13:14:46,47.409291,8.546942,47.423743,8.555213
762,2017-05-24 13:15:04,2017-05-24 13:15:15,47.409291,8.546942,47.423743,8.555213
570,2017-05-24 13:15:19,2017-05-24 13:15:20,47.409291,8.546942,47.423743,8.555213
417,2017-05-24 13:15:21,2017-05-24 13:15:21,47.409291,8.546942,47.423743,8.555213
752,2017-05-24 13:15:22,2017-05-24 13:15:22,47.409291,8.546942,47.423743,8.555213
922,2017-05-24 13:15:25,2017-05-24 13:15:28,47.409291,8.546942,47.423743,8.555213
513,2017-05-24 13:15:35,2017-05-24 13:15:38,47.409291,8.546942,47.423743,8.555213
181,2017-05-24 13:15:40,2017-05-24 13:15:42,47.409291,8.546942,47.423743,8.555213
969,2017-05-24 13:15:46,2017-05-24 13:15:46,47.409291,8.546942,47.423743,8.555213
1049,2017-05-24 13:15:50,2017-05-24 13:15:51,47.409291,8.546942,47.423743,8.555213
923,2017-05-24 13:15:54,2017-05-24 13:15:57,47.409291,8.546942,47.423743,8.555213
924,2017-05-24 13:16:18,2017-05-24 13:16:21,47.409291,8.546942,47.423743,8.555213
532,2017-05-24 13:16:31,2017-05-24 13:16:32,47.409291,8.546942,47.423743,8.555213
1069,2017-05-24 13:16:38,2017-05-24 13:16:42,47.409291,8.546942,47.423743,8.555213
692,2017-05-24 13:16:43,2017-05-24 13:16:43,47.409291,8.546942,47.423743,8.555213
1529,2017-05-24 13:16:44,2017-05-24 13:16:45,47.409291,8.546942,47.423743,8.555213
585,2017-05-24 13:16:51,2017-05-24 13:16:51,47.409291,8.546942,47.423743,8.555213
1055,2017-05-24 13:16:55,2017-05-24 13:16:57,47.409291,8.546942,47.423743,8.555213
151,2017-05-24 13:16:59,2017-05-24 13:17:03,47.409291,8.546942,47.423743,8.555213
502,2017-05-24 13:17:03,2017-05-24 13:17:05,47.409291,8.546942,47.423743,8.555213
1084,2017-05-24 13:17:07,2017-05-24 13:17:11,47.409291,8.546942,47.423743,8.555213
1140,2017-05-24 13:17:13,2017-05-24 13:17:14,47.409291,8.546942,47.423743,8.555213
622,2017-05-24 13:17:21,2017-05-24 13:17:22,47.409291,8.546942,47.423743,8.555213
615,2017-05-24 13:17:23,2017-05-24 13:17:34,47.409291,8.546942,47.423743,8.555213
977,2017-05-24 13:17:36,2017-05-24 13:17:36,47.409291,8.546942,47.423743,8.555213
1389,2017-05-24 13:17:38,2017-05-24 13:17:41,47.409291,8.546942,47.423743,8.555213
57,2017-05-24 13:17:43,2017-05-24 13:17:43,47.409291,8.546942,47.423743,8.555213
1210,2017-05-24 13:17:45,2017-05-24 13:17:46,47.409291,8.546942,47.423743,8.555213
282,2017-05-24 13:17:56,2017-05-24 13:18:00,47.409291,8.546942,47.423743,8.555213
466,2017-05-24 13:18:02,2017-05-24 13:18:03,47.409291,8.546942,47.423743,8.555213
